"unique_ID","long_cite","short_cite","peer_reviewed","coder","expt_num","expt_condition","response_mode","exposure_phase","method","dependent_measure","participant_design","same_infant","native_lang","infant_type","group_name_1","group_name_2","n_1","n_2","mean_age_1","mean_age_2","x_1","x_2","SD_1","SD_2","t","F","d","d_var","corr","age_range_1","age_range_2","n_excluded_1","n_excluded_2","gender_1","gender_2","num_trials","mean_vocab","method_secondary","corr_imputed","r","SD_dif","d_calc","d_var_calc","g_calc","r_calc","dataset","short_name","mean_age","n"
"bion2013","Bion, R. A., Borovsky, A., & Fernald, A. (2013). Fast mapping, slow learning: Disambiguation of novel wordâobject mappings in relation to vocabulary learning at 18, 24, and 30months. Cognition, 126(1), 39-53.","Bion, Borovsky, & Fernald (2013)","yes","Molly Lewis, Michael Frank",2,"experimental","eye-tracking","test_only","forced-choice","target_selection","within_one",1,"english","typical","experimental",NA,22,NA,547.56,NA,0.52,0.5,0.14,NA,0.59,NA,0.125788423,0.091088895,NA,15.21,NA,NA,NA,NA,NA,8,NA,"N_AFC-2",NA,NA,NA,0.142857142857143,0.0459183673469388,0.137693631669535,0.0712470499879097,"Mutual exclusivity","mutex",547.56,22
"bion2013","Bion, R. A., Borovsky, A., & Fernald, A. (2013). Fast mapping, slow learning: Disambiguation of novel wordâobject mappings in relation to vocabulary learning at 18, 24, and 30months. Cognition, 126(1), 39-53.","Bion, Borovsky, & Fernald (2013)","yes","Molly Lewis, Michael Frank",2,"experimental","eye-tracking","test_only","forced-choice","target_selection","within_one",2,"english","typical","experimental",NA,25,NA,730.08,NA,0.65,0.5,0.13,NA,5.34,NA,1.068,0.09140624,NA,45.63,NA,NA,NA,NA,NA,8,NA,"N_AFC-2",NA,NA,NA,1.15384615384615,0.0666272189349112,1.11740890688259,0.499722453489577,"Mutual exclusivity","mutex",730.08,25
"bion2013","Bion, R. A., Borovsky, A., & Fernald, A. (2013). Fast mapping, slow learning: Disambiguation of novel wordâobject mappings in relation to vocabulary learning at 18, 24, and 30months. Cognition, 126(1), 39-53.","Bion, Borovsky, & Fernald (2013)","yes","Molly Lewis, Michael Frank",2,"experimental","eye-tracking","test_only","forced-choice","target_selection","within_one",3,"english","typical","experimental",NA,20,NA,912.6,NA,0.68,0.5,0.14,NA,5.9,NA,1.319280107,0.12175625,NA,30.42,NA,NA,NA,NA,NA,8,NA,"N_AFC-2",NA,NA,NA,1.28571428571429,0.0913265306122449,1.23428571428571,0.540757591313499,"Mutual exclusivity","mutex",912.6,20
"byers2009","ByersâHeinlein, K., & Werker, J. F. (2009). Monolingual, bilingual, trilingual: infants' language experience influences the development of a wordâlearning heuristic. Developmental science, 12(5), 815-823.","Byers-Heinlein & Werker (2009)","yes","Molly Lewis, Michael Frank",1,"experimental","eye-tracking","test_only","forced-choice","looking_time_change","within_one",4,"english","typical","experimental",NA,16,NA,517.14,NA,0.12,0,0.18,NA,2.63,NA,0.66,0.13180625,NA,12.168,NA,NA,NA,NA,NA,6,76,"N_AFC-2",NA,NA,NA,0.666666666666667,0.0763888888888889,0.632768361581921,0.316227766016838,"Mutual exclusivity","mutex",517.14,16
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","forced-choice","target_selection","within_one",5,"english","typical","experimental",NA,12,NA,760.5,NA,0.81,0.5,0.21,NA,NA,NA,1.476190476,0.212065382,NA,91.26,NA,NA,NA,NA,NA,4,367,"N_AFC-2",NA,NA,NA,1.47619047619048,0.174130763416478,1.37320044296789,0.593852296837114,"Mutual exclusivity","mutex",760.5,12
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","forced-choice","target_selection","within_one",6,"english","typical","experimental",NA,12,NA,760.5,NA,0.66,0.5,0.22,NA,NA,NA,0.727272727,0.17768595,NA,91.26,NA,NA,NA,NA,NA,4,367,"N_AFC-2",NA,NA,NA,0.727272727272727,0.105371900826446,0.676532769556025,0.341743063086704,"Mutual exclusivity","mutex",760.5,12
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","forced-choice","target_selection","within_one",7,"english","typical","experimental",NA,8,NA,760.5,NA,0.83,0.5,0.19,NA,NA,NA,1.736842105,0.344269391,NA,91.26,NA,NA,NA,NA,NA,4,367,"N_AFC-2",NA,NA,NA,1.73684210526316,0.313538781163435,1.54385964912281,0.655686655446243,"Mutual exclusivity","mutex",760.5,8
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",1,"experimental","behavior","test_only","forced-choice","target_selection","within_one",8,"english","typical","experimental",NA,8,NA,760.5,NA,0.9,0.5,0.2,NA,NA,NA,2,0.375,NA,91.26,NA,NA,NA,NA,NA,4,367,"N_AFC-2",NA,NA,NA,2,0.375,1.77777777777778,0.707106781186547,"Mutual exclusivity","mutex",760.5,8
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",3,"experimental","behavior","test_only","forced-choice","target_selection","within_one",9,"english","typical","experimental",NA,12,NA,760.5,NA,0.88,0.5,0.25,NA,NA,NA,1.52,0.2148,NA,91.26,NA,NA,NA,NA,NA,4,357,"N_AFC-2",NA,NA,NA,1.52,0.1796,1.41395348837209,0.605083267533558,"Mutual exclusivity","mutex",760.5,12
"evey1998","Evey, J. A., & Merriman, W. E. (1998). The prevalence and the weakness of an early name mapping preference. Journal of child language, 25(1), 121-147.","Evey & Merriman (1998)","yes","Molly Lewis, Michael Frank",3,"experimental","behavior","test_only","forced-choice","target_selection","within_one",10,"english","typical","experimental",NA,12,NA,760.5,NA,0.84,0.5,0.18,NA,NA,NA,1.888888889,0.240997942,NA,91.26,NA,NA,NA,NA,NA,4,357,"N_AFC-2",NA,NA,NA,1.88888888888889,0.231995884773663,1.75710594315245,0.686623532963716,"Mutual exclusivity","mutex",760.5,12
